dataFrom,date,review,rating,extracted_devresp,devresp_time
googlePlay,20230422T182315950Z,5000 limit Big L,1,Thanks for sharing your thoughts with us Chee Kit As part of our banking license conditions we have to adhere to a deposit cap of S50 million in the early phases of our operations As such we have a deposit limit to give more customers access to our simple and seamless savings experience Once the cap is lifted well definitely let you know,20230424T011137259Z
googlePlay,20230422T110159450Z,Overall is a good app Just that why maximum cash is 5k Make it 20k with higher interest rate,3,Thank you for your kind words Charlotte As part of our banking license conditions we have to adhere to a deposit cap of S50 million in the early phases of our operations As such we have a deposit limit to give more customers access to our simple and seamless savings experience Well let you know once the cap is lifted,20230424T010508883Z
googlePlay,20230402T075641783Z,Once login it just hang there and when try to use it in grab app it just say that my phone unable to use this app,1,Hi Jerrold sorry to see this happen and we would like to take a closer look Could you drop us an email at helpgxscomsg with your contact info device model and a screen recording of your issue so we can look into it,20230403T010754220Z
googlePlay,20230321T222540920Z,Cant login now Makes me feel like being SCAMMED,1,Hi TzeEe this is not the experience we would like you to have and we would like to take a closer look at this Could you drop us an email at helpgxscomsg with your contact info device model and a screen recording of your issue so we can look into it,20230322T010603250Z
googlePlay,20230321T112705974Z,App is down,1,Hi Gabriel thank you for alerting us We are aware of the issue and have resolved it As of now were back in space and our app is up running again We are sorry for any inconvenience this may have caused you and we thank you for your patience and support,20230321T125230185Z
googlePlay,20230303T043206177Z,Cant even click log in on galaxy s23 ultra,2,Hi Hafiz this is not the experience we would like you to have and we would like to take a closer look at this Could you drop us an email at helpgxscomsg with your contact info device model and a screen recording of your issue so we can look into it,20230303T052159683Z
googlePlay,20230302T082635159Z,Always freezing and crashes,1,Hi Yu Ping this is not the experience we would like you to have and we would like to take a closer look at this Could you drop us an email at helpgxscomsg with your contact info device model and a screen recording of your issue so we can look into it,20230302T084703636Z
googlePlay,20230226T095023161Z,Disappointing app experience awful faux friendly service I was invited to join via Grab After multiple painful attempts to sign up and v lacklustre UIUX I was told that theres been an error and finally received a vague email stating that I am ineligible without offering any reason why After multiple emails customer service still failed to explain why I am not eligible while signing off as my GXS buddy everytime I dont need a buddy from you I just need you to do your job,1,Thank you for sharing your thoughts with us Chloe We have taken your feedback about our application experience and shared it with the team for further improvement Have a great week ahead,20230227T104306615Z
googlePlay,20230222T044738516Z,Over all goodbut some interface cover on mobile phoneThank,5,Thank you for sharing your thoughts with us We would like to share that customers need to disable all overlay apps before using the app as part of our security feature Should you have any questions or need any help do reach out to us via live chat inapp or our 247 hotline at 3105 2055 Thank you,20230222T060136410Z
googlePlay,20230220T110339756Z,Doesnt work on my phone cannot click and cannot scroll anything Only works if I open it as a mini popup app Had to create an account via someone elses phone Please fix,1,Hi Jolie this is not the experience we want you to have Can you write to us at helpgxscomsg Kindly include a description of the issue you are facing with your contact details mobile device model and also a screen recording of the above issue so that we can look into this matter for you ,20230220T115823912Z
googlePlay,20230218T014550100Z,Smooth app with fast onboarding Im unable to add fund to pocket with decimals due to numeric keypad,5,Thanks for your five star review Joel Were happy that you love our app Meanwhile wed like to look into the issue you encountered when adding funds into your Saving Pockets Could you drop us an email at helpgxscomsg with your contact info device model and a screen recording of your issue so that we can look into it ,20230218T025407326Z
googlePlay,20230215T055735701Z,Its a simple bank app to help you save and transfer your daily needs Just dont split screen or use another app when using it,5,Thank you for sharing your thoughts with us Alifuddin We would like to share that customers need to disable all overlay apps before using the app as part of our security feature Should you have any questions or need any help do reach out to us via live chat inapp or our 247 hotline at 3105 2055 Thank you,20230215T071510217Z
googlePlay,20230214T044325212Z,Simple UI and easy to use,5,Glad to hear that youve been enjoying the banking experience on our app David We have been busy working on new and exciting stuff and we cant wait for you to try them out in the future ,20230214T052611161Z
googlePlay,20230213T145645437Z,forces you to use singpass to register is slow when browsing the FAQs and the login doesnt allow singpassbased password login when the registration does maximum frustration,1,Thanks for sharing with us your thoughts Weve just launched so were working on improving our products and services Stay tuned as we build more features along the way Should you have any questions next time feel free to reach out to us via our inapp live chat or give us a ring at our hotline available 247 at 3105 2055 Thank you,20230214T013828651Z
googlePlay,20230213T111332110Z,Fantastic Bank Great UX,5,Hey Jesse Thank you for your 5 stars review  We are thrilled to know that you love our apps interface and were constantly working to make it even better ,20230213T131937360Z
googlePlay,20230212T083649972Z,App not working,1,This is not the experience we want our new users to have Yee Chan and we would like to look into this matter Do drop us an email at helpgxscomsg with your contact info device model and if possible a screen recording of your issue so that our team can review it Thank you ,20230213T023440810Z
googlePlay,20230209T092525262Z,Kudos to GXS for responding promptly to the error that I experienced accessing the pockets The latest update resolved the problem Thank you,5,Thank you very much for your kind words Wee Kek Should you have any issues next time do reach out to us via email at helpgxscomsg or our 247 support hotline at 3105 2055 and we would be more than happy to assist Cheers ,20230209T093900863Z
googlePlay,20230208T102411896Z,App auto exit after I clicked pocket account icon to see the details of each pocket account Happened on from yesterday Issue resolved after app update on 8 Feb Thank you for the swift response,5,Hi Ben glad to hear that the issue has been resolved Should you have any issues next time do reach out to us via email at helpgxscomsg or our 247 support hotline at 3105 2055 Cheers,20230208T102700558Z
googlePlay,20230206T151844192Z,Problem solved am happily using it,5,Thanks for the update Kuyame Hikari Should you face any issues on our app or have any questions do reach out to us via live chat or drop us a call at our 247 hotline at 3105 2055 Cheers,20230207T022231755Z
googlePlay,20230205T032623164Z,Cannot tap on Join The Revolution or anything,1,Hey Nathanael we are sorry to hear about your experience We would love to resolve this issue for you Please share with us more details such as your a Device Model and b OS Version for our further checking You can either drop us an email at helpgxscomsg or ring us up at our hotline available 247 at 3105 2055 ,20230206T034906710Z
googlePlay,20230201T135722574Z,The links after downloading the app are unclickable to even register Looks more like a wireframe on a Marvel platform Lol What a great UX that GXS promises in their marketing but unable to deliver I wonder what happens if you cannot click in future to transfer your money I have serious doubts about how legit they are about Fintech with such a haphazard launch,1,Hey Jason are you using any dualscreen function on your mobile device Any overlay function over the GXS app will make it nonresponsive due to security measures If the issue still persists do drop us an email at helpgxscomsg with your contact details mobile device and a screen recording so that we can look into this Thank you,20230202T014208303Z
